sep=;;;;;;;
Product Class;'04;;;;;;
Variant Sift;';;;;;;
Document;22644816;;;;;;
Position;LinkID;Partno;Name,Demarcation;Function Group;Variants;Quantity;KOLA Direction
7;CALINKID;22392545;;;EAX-BOX;1;
7;CALINKID;22392545;;;EAX-BWX;1;
7;CALINKID;22392545;;;EAX-BXX;1;
7;CALINKID;22392545;;;EAX-B3X;1;
7;CALINKID;22392545;;;EAX-B4X;1;
7;CALINKID;22392545;;;EAX-CDX;1;
7;CALINKID;22392545;;;EAX-CFX;1;
7;CALINKID;22392545;;;EAX-CGX;1;
7;CALINKID;22392545;;;EAX-CSX;1;
7;CALINKID;22392545;;;EAX-CTX;1;
7;CALINKID;22392545;;;EAX-CZX;1;
7;CALINKID;22392545;;;EAX-C2X;1;
7;CALINKID;22392545;;;EAX-E5X;1;
7;CALINKID;22392545;;;EAX-E6X;1;
7;CALINKID;22392545;;;EAX-E7X;1;
7;CALINKID;22392545;;;EAX-TKX;1;
7;CALINKID;22392545;;;EAX-TMX;1;
7;CALINKID;22392545;;;EAX-TNX;1;
7;CALINKID;23162822;;;EAX-TOX;1;momentary
7;CALINKID;22392545;;;EAX-TPX;1;
7;CALINKID;22392545;;;EAX-TSX;1;
7;CALINKID;22392545;;;EAX-TTX;1;
7;CALINKID;22392545;;;EAX-TUX;1;
7;CALINKID;22392545;;;EAX-TVX;1;
7;CALINKID;22558336;;;N7X-C9X;1;
8;CALINKID;22392545;;;EAX-ABX;1;
8;CALINKID;22392545;;;EAX-ASX;1;
8;CALINKID;22392545;;;EAX-BCX;1;
8;CALINKID;22392545;;;EAX-BOX;1;
8;CALINKID;22392545;;;EAX-BWX;1;
8;CALINKID;22392545;;;EAX-BXX;1;
8;CALINKID;22392545;;;EAX-B3X;1;
8;CALINKID;22392545;;;EAX-B4X;1;
8;CALINKID;22392545;;;EAX-CDX;1;
8;CALINKID;22392545;;;EAX-CFX;1;
8;CALINKID;22392545;;;EAX-CGX;1;
8;CALINKID;22392545;;;EAX-CSX;1;
8;CALINKID;22392545;;;EAX-CTX;1;
8;CALINKID;22392545;;;EAX-CZX;1;
8;CALINKID;22392545;;;EAX-C2X;1;
8;CALINKID;22392545;;;EAX-E5X;1;
8;CALINKID;22392545;;;EAX-E6X;1;
