sep=;
Product Class;'04
Variant Sift;'
Document;22644816
Position;LinkID;Partno;Name,Demarcation;Function Group;Variants;Quantity;KOLA Direction
3;3739121;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UADASWPA,EXBRI-2,UPTOTRA;00001;&nbsp;
3;3739120;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP2,EXBRI-2,UPTOTRA;00001;&nbsp;
3;3739117;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP10,EXBRI-2,UREMCON;00001;&nbsp;
3;3739116;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP6,EXBRI-2,UREMCON;00001;&nbsp;
3;3725316;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UADASWPA,UEXBRI,UPTOTRA;00001;&nbsp;
3;3725315;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP2,UEXBRI,UPTOTRA;00001;&nbsp;
3;3725306;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP10,UEXBRI,UREMCON;00001;&nbsp;
3;3668575;22702143;SWITCH, REMOTE START ENABLE;364 ;INT-GEN2,REMC-PK2;00001;&nbsp;
3;3503391;22626618;SWITCH, BRIGHTWORK  LIGHTS;364 ;INT-GEN2,EXBRI-4;00001;&nbsp;
4;3915068;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D3,ADASWP2;00001;&nbsp;
4;3915074;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D3,UADASWPA;00001;&nbsp;
4;3822014;22997159;PLUG BLANK, SWITCH;364 ;PTR-PK,UADASWPA;00001;&nbsp;
4;3822013;22997159;PLUG BLANK, SWITCH;364 ;PTR-DM,UADASWPA;00001;&nbsp;
4;3822012;22997159;PLUG BLANK, SWITCH;364 ;PTR-FL,UADASWPA;00001;&nbsp;
4;3914988;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D2,UADASWPA;00001;&nbsp;
4;3914985;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D2,ADASWP2;00001;&nbsp;
4;3914984;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D1,UADASWPA;00001;&nbsp;
4;3914981;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D1,ADASWP2;00001;&nbsp;
4;3914933;24167356;SWITCH, PTO, ENGINE SIDE;364 ;ENG-VE11,HPE-F81,ADASWP2;00001;&nbsp;
4;3725346;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UADASWPA,UPTOTRA;00001;&nbsp;
4;3725345;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP2,UPTOTRA;00001;&nbsp;
4;3822016;22997159;PLUG BLANK, SWITCH;364 ;PTRD-D,UADASWPA;00001;&nbsp;
4;3894586;22997159;PLUG BLANK, SWITCH;364 ;PTR-FL,UHPE,ADASWP2;00001;&nbsp;
